participant,trial_number,mean.n.placements,median.n.placements,min.n.placements,max.n.placements,prop.w.extra,prop.w.missing
Matcher,1,11.290322580645162,12,5,13,0.22580645161290322,0.03225806451612903
Overhearer,1,11.35483870967742,12,5,16,0.2903225806451613,0.06451612903225806
Matcher,3,12.35483870967742,12,9,24,0.06451612903225806,0.12903225806451613
Overhearer,3,12.193548387096774,12,9,24,0.1935483870967742,0.12903225806451613
Matcher,6,12,12,12,12,0,0
Overhearer,6,11.466666666666667,12,9,12,0.26666666666666666,0
