word,raw_frequency
sharp,4
skip,4
smaller,4
snatched,4
sorority,4
spread,4
stack,4
still,4
structures,4
supposed,4
"that,",4
This,4
tilting,4
together,4
top.,4
tray,4
trouble,4
"twelve,",4
uhm,4
upside,4
us,4
using,4
utah,4
why,4
XXX,4
yeah.,4
Yes.,4
zig,4
"a,",3
ahead,3
already,3
Alright,3
angles,3
applesauce,3
"arms,",3
awesome,3
"back,",3
bear,3
becuase,3
believe,3
bits,3
block,3
boulder,3
boy,3
bucket,3
cap,3
cape,3
car,3
chair,3
check,3
colon,3
completely,3
cone,3
confusing,3
crossing,3
crow,3
curved,3
curves,3
cuz,3
dead,3
describing,3
doctor,3
downwards,3
drifting,3
drifts,3
elevated,3
entire,3
extened,3
extra,3
ey,3
face,3
feels,3
figures,3
food,3
fu,3
further,3
gorilla,3
Grim,3
gun,3
guy's,3
gym,3
"has,",3
hop,3
hunched,3
i've,3
Illinois,3
it.,3
ive,3
jelly,3
k,3
kneeler,3
less,3
lift,3
light,3
liike,3
made,3
map,3
mind,3
missouri,3
mopey,3
mostly,3
mulan,3
new,3
nope,3
"now,",3
numbers,3
"of,",3
Oh,3
ohh,3
"Okay,",3
Okay.,3
one.,3
pacman,3
pelican,3
perpendicular,3
person's,3
piece,3
placed,3
plague,3
playboy,3
pop,3
positioned,3
possibly,3
potatoes,3
previous,3
process,3
rat,3
reaching,3
Reaper,3
right?,3
round,3
s-shaped,3
seat,3
seeing,3
semi,3
"seven,",3
"side,",3
side.,3
simple,3
slant,3
slanted,3
slanting,3
slight,3
slot,3
slouched,3
slouchy,3
"slug,",3
slumped,3
snout,3
someone's,3
sphinx,3
sprinting,3
sqaure,3
"square,",3
stacked,3
stick,3
super,3
swaddled,3
symmetric,3
takes,3
Then,3
told,3
traingles,3
tree,3
tweleve,3
Two,3
uhh,3
ummm,3
unfortunately,3
unsequenced,3
vertical,3
waist,3
warrior,3
what's,3
whats,3
whos,3
will,3
windmill,3
wingspan,3
"with,",3
woe,3
woman,3
"Yeah,",3
You,3
you?,3
yup,3
zag,3
-,2
...,2
*laughs*,2
*laughter*,2
45,2
accidentally,2
actions,2
ah,2
alex,2
analogy,2
angel,2
angular,2
apart,2
"arm,",2
around,2
arts,2
ask,2
assume,2
axis,2
back?,2
balanced,2
ballerina,2
ballet,2
beach,2
beanbag,2
being,2
bend,2
better,2
"bit,",2
blockier,2
blub,2
"body,",2
boot,2
"box,",2
box.,2
boxes,2
branching,2
bro,2
built,2
bump,2
bunny's,2
But,2
c,2
C,2
calling,2
cannot,2
cartoon,2
case,2
centered,2
chiseled,2
christ,2
chunky,2
clasped,2
clear,2
clearly,2
close,2
contortion,2
"Cool,",2
corners,2
crooked,2
crown,2
curled,2
dakota,2
definite,2
described,2
detached,2
directions,2
dive,2
door,2
"down,",2
earned,2
easiest,2
elbow,2
Eleven,2
"eleven,",2
elimination,2
emoji,2
eva,2
eve,2
exact,2
expect,2
extremities,2
Facing,2
fairly,2
"feet,",2
ferb,2
fetal,2
filled,2
final,2
find,2
"first,",2
"five,",2
floating,2
"foot,",2
foot's,2
forgot,2
"four,",2
fourths,2
fuck,2
fucked,2
gestures,2
gosh,2
grenade,2
guy.,2
guys,2
ha,2
handmaiden,2
hari,2
"hat,",2
hats,2
heard,2
heavy,2
heigh,2
heil,2
hell,2
helpful,2
helps,2
hexagonal,2
hitler,2
"hmm,",2
hmmm,2
honest,2
hope,2
hump,2
individual,2
inverted,2
is?,2
it?,2
Its,2
jaggedly,2
james,2
Jesus,2
jog,2
jump,2
kept,2
knee's,2
kneeled,2
"kneeling,",2
kokopelli,2
large,2
larger,2
left?,2
legs.,2
letter,2
lied,2
lifts,2
Like,2
like?,2
lines,2
lookiing,2
lookos,2
lounging,2
lunge,2
lunger,2
lunging,2
mark,2
martial,2
may,2
michaels,2
mini,2
modern,2
mortarboard,2
mouth,2
multiple,2
natu,2
nazi,2
need,2
never,2
nice,2
none,2
north,2
northwest,2
Not,2
numeber,2
numebr,2
o'clock,2
objectively,2
oklahoma,2
"on,",2
"ones,",2
onto,2
ot,2
out.,2
outfit,2
outstreached,2
own,2
P,2
page,2
particular,2
"people,",2
"person,",2
personally,2
phineas,2
photo,2
plateaus,2
plated,2
plateholder,2
plug,2
poiting,2
pokemon,2
pony,2
ponytail,2
popping,2
positioning,2
preist,2
present,2
problem,2
problems,2
propped,2
proud,2
pushing,2
quadrilateral,2
quarter,2
question,2
questions,2
questions?,2
reason,2
rectange,2
refer,2
referee,2
region,2
resting,2
revisit,2
"robe,",2
row,2
safe,2
salsa,2
salute,2
samurais,2
sasquatch,2
scooter,2
scroll,2
"seems,",2
seperate,2
sequenced,2
shadow,2
shape?,2
shark,2
shit,2
"shoe,",2
shoe.,2
shoot,2
short,2
shorter,2
show,2
showed,2
shrug,2
sided,2
sideways,2
sign,2
situation,2
situp,2
"six,",2
sleeve,2
sliding,2
slimmer,2
sliver,2
slopes,2
somewhere,2
Sorry,2
sounds,2
specific,2
square.,2
square...,2
squarish,2
squat,2
squating,2
star,2
starting,2
stop,2
striahg,2
striahgt,2
swan,2
swandive,2
switched,2
swoosh,2
symmetrical,2
taichi,2
taking,2
talk,2
taxi,2
technically,2
that?,2
that.,2
"them,",2
them.,2
them's,2
thems,2
There's,2
thingy,2
thrown,2
tilt,2
tip,2
toe,2
tomb,2
too,2
"top,",2
total,2
"trapezoid,",2
trenchcoat,2
"triangle,",2
turned,2
Um,2
unfortunate,2
unique,2
up.,2
use,2
v,2
vertices,2
vibes,2
voting,2
walk,2
wall-e,2
wanna,2
wards,2
wave,2
went,2
what?,2
wheres,2
wide,2
wider,2
wiith,2
wing,2
witch,2
wouldn't,2
x,2
yeh,2
Yep,2
Yup,2
#NAME?,1
",",1
..,1
....,1
*laugh*,1
"2,",1
4th,1
"5,",1
5th,1
"7,",1
7...,1
"8,",1
9?,1
a...,1
"a$$,",1
Aarna,1
able,1
"about,",1
acing,1
actua;;y,1
actual,1
"actually,",1
actually.,1
added,1
again?,1
agaisnt,1
ago,1
agree,1
ahs,1
aligh,1
alligator,1
almonst,1
almoost,1
almosst,1
"almost,",1
almot,1
almsot,1
alot,1
alsmost,1
although,1
always,1
andd,1
angled,1
angles.,1
animal,1
ankle,1
anymore,1
anyway,1
anyways,1
"anyways,",1
anywhere,1
appendiges,1
apperance,1
apple,1
arched,1
Are,1
aren't,1
arims,1
arm?,1
armpit,1
arrows,1
asquare,1
ass,1
assigning,1
aubergene,1
avoiding,1
aw,1
away,1
